Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type,lat,lon
1407,2010-09-20 12:39:24,2010-09-20 13:02:52,31101,14th & V St NW,31100,19th St & Pennsylvania Ave NW,W00930,Member,38.9175997,-77.0321
351,2010-09-20 12:39:35,2010-09-20 12:45:26,31103,16th & Harvard St NW,31104,Adams Mill & Columbia Rd NW,W00685,Member,38.9261399,-77.0366677
416,2010-09-20 12:40:40,2010-09-20 12:47:36,31105,14th & Harvard St NW,31207,Georgia Ave and Fairmont St NW,W00476,Member,38.9267997,-77.0322
2988,2010-09-20 12:41:37,2010-09-20 13:31:25,31206,19th & E Street NW,31603,1st & M St NE,W00955,Member,42.6795631304348,-75.4927429130435
636,2010-09-20 12:42:14,2010-09-20 12:52:50,31002,20th & Crystal Dr,31003,15th & Crystal Dr,W01066,Member,38.8563997,-77.0492
509,2010-09-20 13:07:31,2010-09-20 13:16:01,31205,21st & I St NW,31200,Massachusetts Ave & Dupont Circle NW,W00824,Member,38.9007997,-77.047
638,2010-09-20 13:13:21,2010-09-20 13:23:59,31201,15th & P St NW,31200,Massachusetts Ave & Dupont Circle NW,W00883,Member,38.9098497,-77.034438
763,2010-09-20 13:16:24,2010-09-20 13:29:08,31602,Park Rd & Holmead Pl NW,31109,7th & T St NW,W01029,Member,38.9308232,-77.0315137
387,2010-09-20 13:20:41,2010-09-20 13:27:09,31009,27th & Crystal Dr,31009,27th & Crystal Dr,W00821,Member,38.8484407,-77.051516
1409,2010-09-20 13:22:51,2010-09-20 13:46:21,31600,5th & K St NW,31100,19th St & Pennsylvania Ave NW,W00833,Member,38.9025842,-77.0556545
1254,2010-09-20 13:27:37,2010-09-20 13:48:32,31002,20th & Crystal Dr,31012,26th & S Clark St,W01123,Member,38.8563997,-77.0492
1238,2010-09-20 13:28:15,2010-09-20 13:48:54,31002,20th & Crystal Dr,31012,26th & S Clark St,W01034,Member,38.8563997,-77.0492
277,2010-09-20 13:30:21,2010-09-20 13:34:58,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W00796,Member,38.9232108,-77.0476393
1532,2010-09-20 13:34:07,2010-09-20 13:59:39,31200,Massachusetts Ave & Dupont Circle NW,31600,5th & K St NW,W00883,Member,38.9100997,-77.0444
759,2010-09-20 13:40:43,2010-09-20 13:53:23,31104,Adams Mill & Columbia Rd NW,31202,14th & R St NW,W00796,Member,38.9230444,-77.0425553
433,2010-09-20 13:55:40,2010-09-20 14:02:53,31011,23rd & Crystal Dr,31011,23rd & Crystal Dr,W00764,Member,38.8532997,-77.0498
329,2010-09-20 14:18:37,2010-09-20 14:24:07,31100,19th St & Pennsylvania Ave NW,31206,19th & E Street NW,W00868,Member,38.9002997,-77.0429
775,2010-09-20 14:23:31,2010-09-20 14:36:27,31200,Massachusetts Ave & Dupont Circle NW,31602,Park Rd & Holmead Pl NW,W00775,Member,38.9100997,-77.0444
3044,2010-09-20 14:28:39,2010-09-20 15:19:23,31100,19th St & Pennsylvania Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00993,Casual,38.9002997,-77.0429
1438,2010-09-20 14:45:13,2010-09-20 15:09:12,31000,Eads St & 15th St S,31002,20th & Crystal Dr,W00570,Casual,38.8589788,-77.0532323
597,2010-09-20 14:49:36,2010-09-20 14:59:33,31202,14th & R St NW,31200,Massachusetts Ave & Dupont Circle NW,W00796,Member,38.9126963,-77.03167
1492,2010-09-20 14:54:13,2010-09-20 15:19:05,31603,1st & M St NE,31500,4th & W St NE,W01103,Member,38.9056997,-77.0056
956,2010-09-20 15:01:24,2010-09-20 15:17:21,31101,14th & V St NW,31204,20th & E St NW,W01058,Member,38.9175997,-77.0321
1185,2010-09-20 15:05:48,2010-09-20 15:25:34,31212,21st & M St NW,31212,21st & M St NW,W01069,Member,38.9053609,-77.0467762
127,2010-09-20 15:08:24,2010-09-20 15:10:32,31603,1st & M St NE,31603,1st & M St NE,?(0x000000004752DD3A),Member,38.9056997,-77.0056
1207,2010-09-20 15:24:41,2010-09-20 15:44:48,31206,19th & E Street NW,31209,1st & N St  SE,W00868,Member,42.6795631304348,-75.4927429130435
2228,2010-09-20 15:27:54,2010-09-20 16:05:03,31104,Adams Mill & Columbia Rd NW,31209,1st & N St  SE,W00685,Member,38.9230444,-77.0425553
3820,2010-09-20 15:29:26,2010-09-20 16:33:07,31200,Massachusetts Ave & Dupont Circle NW,31206,19th & E Street NW,W00977,Casual,38.9100997,-77.0444
1168,2010-09-20 15:30:28,2010-09-20 15:49:57,31100,19th St & Pennsylvania Ave NW,31600,5th & K St NW,W00930,Member,38.9002997,-77.0429
566,2010-09-20 15:35:47,2010-09-20 15:45:14,31101,14th & V St NW,31207,Georgia Ave and Fairmont St NW,W00960,Member,38.9175997,-77.0321
631,2010-09-20 15:38:46,2010-09-20 15:49:18,31111,10th & U St NW,31200,Massachusetts Ave & Dupont Circle NW,W00958,Member,38.9171997,-77.0259
604,2010-09-20 15:43:10,2010-09-20 15:53:15,31100,19th St & Pennsylvania Ave NW,31203,14th & Rhode Island Ave NW,W00563,Casual,38.9002997,-77.0429
1488,2010-09-20 15:51:30,2010-09-20 16:16:18,31208,M St & New Jersey Ave SE,31600,5th & K St NW,W01084,Member,38.8762997,-77.0037
7275,2010-09-20 15:57:10,2010-09-20 17:58:26,31100,19th St & Pennsylvania Ave NW,31103,16th & Harvard St NW,W00976,Member,38.9002997,-77.0429
1959,2010-09-20 16:17:02,2010-09-20 16:49:42,31200,Massachusetts Ave & Dupont Circle NW,31108,4th & M St SW,W00256,Casual,38.9100997,-77.0444
310,2010-09-20 16:21:22,2010-09-20 16:26:32,31100,19th St & Pennsylvania Ave NW,31100,19th St & Pennsylvania Ave NW,W00159,Member,38.9002997,-77.0429
407,2010-09-20 16:22:43,2010-09-20 16:29:31,31111,10th & U St NW,31201,15th & P St NW,W00642,Member,38.9171997,-77.0259
1145,2010-09-20 16:23:28,2010-09-20 16:42:33,31003,15th & Crystal Dr,31009,27th & Crystal Dr,W00999,Casual,38.8601822,-77.0496649
730,2010-09-20 16:29:41,2010-09-20 16:41:51,31600,5th & K St NW,31202,14th & R St NW,W01084,Member,38.9025842,-77.0556545
907,2010-09-20 16:31:16,2010-09-20 16:46:24,31100,19th St & Pennsylvania Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00842,Member,38.9002997,-77.0429
1406,2010-09-20 16:32:50,2010-09-20 16:56:17,31600,5th & K St NW,31107,Lamont & Mt Pleasant NW,W00883,Member,38.9025842,-77.0556545
381,2010-09-20 16:35:41,2010-09-20 16:42:03,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00745,Member,38.9100997,-77.0444
548,2010-09-20 16:37:21,2010-09-20 16:46:30,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W00850,Member,38.9100997,-77.0444
557,2010-09-20 16:45:17,2010-09-20 16:54:34,31009,27th & Crystal Dr,31002,20th & Crystal Dr,W01079,Casual,38.8484407,-77.051516
855,2010-09-20 16:51:43,2010-09-20 17:05:59,31111,10th & U St NW,31104,Adams Mill & Columbia Rd NW,?(0x000000007C120F6A),Member,38.9171997,-77.0259
1733,2010-09-20 16:55:04,2010-09-20 17:23:58,31802,Good Hope Rd & MLK Ave SE,31600,5th & K St NW,W00911,Member,38.8673727,-76.988039
4954,2010-09-20 16:56:14,2010-09-20 18:18:48,31200,Massachusetts Ave & Dupont Circle NW,31200,Massachusetts Ave & Dupont Circle NW,W00322,Casual,38.9100997,-77.0444
1283,2010-09-20 16:57:15,2010-09-20 17:18:38,31603,1st & M St NE,31600,5th & K St NW,W00829,Member,38.9056997,-77.0056
385,2010-09-20 16:57:57,2010-09-20 17:04:22,31101,14th & V St NW,31105,14th & Harvard St NW,W00814,Member,38.9175997,-77.0321
635,2010-09-20 16:57:58,2010-09-20 17:08:34,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W00958,Member,38.9100997,-77.0444
4839,2010-09-20 16:58:08,2010-09-20 18:18:47,31200,Massachusetts Ave & Dupont Circle NW,31200,Massachusetts Ave & Dupont Circle NW,W00993,Casual,38.9100997,-77.0444
466,2010-09-20 17:01:18,2010-09-20 17:09:05,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00824,Member,38.9100997,-77.0444
892,2010-09-20 17:16:27,2010-09-20 17:31:19,31201,15th & P St NW,31600,5th & K St NW,W01113,Casual,38.9098497,-77.034438
451,2010-09-20 17:16:51,2010-09-20 17:24:22,31111,10th & U St NW,31201,15th & P St NW,W00850,Member,38.9171997,-77.0259
315,2010-09-20 17:17:52,2010-09-20 17:23:08,31109,7th & T St NW,31111,10th & U St NW,W00569,Member,38.9154997,-77.0222
1796,2010-09-20 17:31:06,2010-09-20 18:01:02,31208,M St & New Jersey Ave SE,31204,20th & E St NW,W00428,Member,38.8762997,-77.0037
474,2010-09-20 17:33:52,2010-09-20 17:41:47,31111,10th & U St NW,31201,15th & P St NW,W01050,Member,38.9171997,-77.0259
1037,2010-09-20 17:35:58,2010-09-20 17:53:16,31602,Park Rd & Holmead Pl NW,31400,Georgia & New Hampshire Ave NW,W00903,Member,38.9308232,-77.0315137
729,2010-09-20 17:38:19,2010-09-20 17:50:28,31600,5th & K St NW,31202,14th & R St NW,W00829,Member,38.9025842,-77.0556545
466,2010-09-20 17:41:31,2010-09-20 17:49:17,31100,19th St & Pennsylvania Ave NW,31201,15th & P St NW,W00968,Member,38.9002997,-77.0429
1440,2010-09-20 17:41:58,2010-09-20 18:05:59,31104,Adams Mill & Columbia Rd NW,31205,21st & I St NW,?(0x000000007C120F6A),Member,38.9230444,-77.0425553
507,2010-09-20 17:44:37,2010-09-20 17:53:05,31108,4th & M St SW,31208,M St & New Jersey Ave SE,W01007,Member,38.8766997,-77.0178
1811,2010-09-20 17:46:47,2010-09-20 18:16:58,31203,14th & Rhode Island Ave NW,31203,14th & Rhode Island Ave NW,W00563,Member,38.9085997,-77.0323
959,2010-09-20 17:47:35,2010-09-20 18:03:34,31208,M St & New Jersey Ave SE,31208,M St & New Jersey Ave SE,W00826,Member,38.8762997,-77.0037
1576,2010-09-20 17:50:58,2010-09-20 18:17:14,31603,1st & M St NE,31105,14th & Harvard St NW,W00340,Member,38.9056997,-77.0056
462,2010-09-20 17:51:06,2010-09-20 17:58:48,31200,Massachusetts Ave & Dupont Circle NW,31100,19th St & Pennsylvania Ave NW,W00842,Member,38.9100997,-77.0444
413,2010-09-20 17:51:16,2010-09-20 17:58:10,31108,4th & M St SW,31208,M St & New Jersey Ave SE,W01024,Member,38.8766997,-77.0178
626,2010-09-20 17:52:40,2010-09-20 18:03:06,31201,15th & P St NW,31111,10th & U St NW,W00968,Member,38.9098497,-77.034438
595,2010-09-20 17:54:58,2010-09-20 18:04:53,31111,10th & U St NW,31600,5th & K St NW,W00958,Member,38.9171997,-77.0259
1382,2010-09-20 17:55:09,2010-09-20 18:18:12,31204,20th & E St NW,31600,5th & K St NW,W01058,Member,38.8963209,-77.045018
220,2010-09-20 17:55:23,2010-09-20 17:59:04,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W00830,Member,38.9232108,-77.0476393
1159,2010-09-20 17:56:12,2010-09-20 18:15:32,31600,5th & K St NW,31200,Massachusetts Ave & Dupont Circle NW,W01113,Casual,38.9025842,-77.0556545
1241,2010-09-20 17:56:32,2010-09-20 18:17:13,31602,Park Rd & Holmead Pl NW,31100,19th St & Pennsylvania Ave NW,W00344,Member,38.9308232,-77.0315137
375,2010-09-20 17:57:20,2010-09-20 18:03:35,31109,7th & T St NW,31207,Georgia Ave and Fairmont St NW,W00196,Member,38.9154997,-77.0222
940,2010-09-20 17:59:00,2010-09-20 18:14:40,31202,14th & R St NW,31202,14th & R St NW,W00512,Member,38.9126963,-77.03167
419,2010-09-20 18:01:26,2010-09-20 18:08:25,31009,27th & Crystal Dr,31004,Aurora Hills Community Ctr/18th & Hayes St,W00821,Member,38.8484407,-77.051516
893,2010-09-20 18:01:48,2010-09-20 18:16:42,31100,19th St & Pennsylvania Ave NW,31600,5th & K St NW,W00377,Member,38.9002997,-77.0429
142,2010-09-20 18:03:53,2010-09-20 18:06:15,31201,15th & P St NW,31203,14th & Rhode Island Ave NW,W01050,Member,38.9098497,-77.034438
1879,2010-09-20 18:04:09,2010-09-20 18:35:29,31201,15th & P St NW,31207,Georgia Ave and Fairmont St NW,W00850,Member,38.9098497,-77.034438
2060,2010-09-20 18:05:17,2010-09-20 18:39:38,31103,16th & Harvard St NW,31103,16th & Harvard St NW,W00976,Member,38.9261399,-77.0366677
2550,2010-09-20 18:09:03,2010-09-20 18:51:33,31205,21st & I St NW,31205,21st & I St NW,W00747,Member,38.9007997,-77.047
945,2010-09-20 18:09:19,2010-09-20 18:25:04,31205,21st & I St NW,31202,14th & R St NW,W00142,Member,38.9007997,-77.047
1864,2010-09-20 18:12:28,2010-09-20 18:43:33,31203,14th & Rhode Island Ave NW,31111,10th & U St NW,W01050,Member,38.9085997,-77.0323
415,2010-09-20 18:14:04,2010-09-20 18:20:59,31200,Massachusetts Ave & Dupont Circle NW,31104,Adams Mill & Columbia Rd NW,W00796,Member,38.9100997,-77.0444
534,2010-09-20 18:14:37,2010-09-20 18:23:31,31201,15th & P St NW,31111,10th & U St NW,W00777,Member,38.9098497,-77.034438
1864,2010-09-20 18:15:58,2010-09-20 18:47:03,31201,15th & P St NW,31209,1st & N St  SE,W00824,Member,38.9098497,-77.034438
1834,2010-09-20 18:16:06,2010-09-20 18:46:40,31201,15th & P St NW,31209,1st & N St  SE,W00642,Member,38.9098497,-77.034438
500,2010-09-20 18:17:24,2010-09-20 18:25:44,31201,15th & P St NW,31110,20th St & Florida Ave NW,W00745,Member,38.9098497,-77.034438
1640,2010-09-20 18:18:47,2010-09-20 18:46:07,31205,21st & I St NW,31006,S Joyce & Army Navy Dr,?(0x000000007C120F6A),Member,38.9007997,-77.047
868,2010-09-20 18:20:47,2010-09-20 18:35:15,31202,14th & R St NW,31111,10th & U St NW,W00614,Member,38.9126963,-77.03167
400,2010-09-20 18:20:47,2010-09-20 18:27:28,31106,Calvert & Biltmore St NW,31103,16th & Harvard St NW,W00795,Member,38.9232108,-77.0476393
245,2010-09-20 18:21:36,2010-09-20 18:25:41,31203,14th & Rhode Island Ave NW,31201,15th & P St NW,W00289,Member,38.9085997,-77.0323
583,2010-09-20 18:25:58,2010-09-20 18:35:42,31200,Massachusetts Ave & Dupont Circle NW,31101,14th & V St NW,W00322,Member,38.9100997,-77.0444
199,2010-09-20 18:28:24,2010-09-20 18:31:44,31011,23rd & Crystal Dr,31009,27th & Crystal Dr,W00735,Member,38.8532997,-77.0498
194,2010-09-20 18:28:48,2010-09-20 18:32:02,31011,23rd & Crystal Dr,31009,27th & Crystal Dr,W00764,Member,38.8532997,-77.0498
1455,2010-09-20 18:29:24,2010-09-20 18:53:39,31600,5th & K St NW,31111,10th & U St NW,W00958,Member,38.9025842,-77.0556545
638,2010-09-20 18:31:16,2010-09-20 18:41:55,31100,19th St & Pennsylvania Ave NW,31110,20th St & Florida Ave NW,W00344,Member,38.9002997,-77.0429
259,2010-09-20 18:34:14,2010-09-20 18:38:34,31104,Adams Mill & Columbia Rd NW,31110,20th St & Florida Ave NW,W00796,Member,38.9230444,-77.0425553
521,2010-09-20 18:35:16,2010-09-20 18:43:58,31600,5th & K St NW,31201,15th & P St NW,W00930,Member,38.9025842,-77.0556545
169,2010-09-20 18:40:30,2010-09-20 18:43:19,31203,14th & Rhode Island Ave NW,31202,14th & R St NW,W00563,Member,38.9085997,-77.0323
7554,2010-09-20 18:42:00,2010-09-20 20:47:54,31105,14th & Harvard St NW,31105,14th & Harvard St NW,W01059,Casual,38.9267997,-77.0322
7512,2010-09-20 18:42:04,2010-09-20 20:47:16,31105,14th & Harvard St NW,31105,14th & Harvard St NW,W00804,Casual,38.9267997,-77.0322
793,2010-09-20 18:42:37,2010-09-20 18:55:51,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W00993,Member,38.9100997,-77.0444
132,2010-09-20 18:43:23,2010-09-20 18:45:35,31201,15th & P St NW,31203,14th & Rhode Island Ave NW,W00289,Member,38.9098497,-77.034438
235,2010-09-20 18:44:34,2010-09-20 18:48:30,31201,15th & P St NW,31202,14th & R St NW,W00930,Member,38.9098497,-77.034438
375,2010-09-20 18:48:24,2010-09-20 18:54:39,31011,23rd & Crystal Dr,31003,15th & Crystal Dr,W01016,Member,38.8532997,-77.0498
768,2010-09-20 18:48:48,2010-09-20 19:01:37,31108,4th & M St SW,31208,M St & New Jersey Ave SE,W00872,Member,38.8766997,-77.0178
849,2010-09-20 18:51:29,2010-09-20 19:05:39,31001,18th & Eads St.,31001,18th & Eads St.,W00758,Member,38.8572578,-77.0533223
509,2010-09-20 18:52:35,2010-09-20 19:01:04,31110,20th St & Florida Ave NW,31104,Adams Mill & Columbia Rd NW,W00344,Member,38.9153997,-77.0446
486,2010-09-20 18:52:43,2010-09-20 19:00:50,31110,20th St & Florida Ave NW,31104,Adams Mill & Columbia Rd NW,W00796,Member,38.9153997,-77.0446
692,2010-09-20 18:52:50,2010-09-20 19:04:22,31602,Park Rd & Holmead Pl NW,31201,15th & P St NW,W00472,Member,38.9308232,-77.0315137
668,2010-09-20 18:52:52,2010-09-20 19:04:00,31100,19th St & Pennsylvania Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00842,Member,38.9002997,-77.0429
550,2010-09-20 18:56:20,2010-09-20 19:05:30,31600,5th & K St NW,31201,15th & P St NW,W00605,Member,38.9025842,-77.0556545
952,2010-09-20 18:59:34,2010-09-20 19:15:27,31200,Massachusetts Ave & Dupont Circle NW,31600,5th & K St NW,W01113,Casual,38.9100997,-77.0444
790,2010-09-20 19:02:36,2010-09-20 19:15:47,31101,14th & V St NW,31200,Massachusetts Ave & Dupont Circle NW,W00772,Member,38.9175997,-77.0321
1107,2010-09-20 19:04:00,2010-09-20 19:22:27,31110,20th St & Florida Ave NW,31110,20th St & Florida Ave NW,W00745,Member,38.9153997,-77.0446
302,2010-09-20 19:04:26,2010-09-20 19:09:28,31202,14th & R St NW,31203,14th & Rhode Island Ave NW,W00563,Member,38.9126963,-77.03167
1072,2010-09-20 19:06:48,2010-09-20 19:24:40,31603,1st & M St NE,31502,John McCormack Dr & Michigan Ave NE,W00803,Member,38.9056997,-77.0056
382,2010-09-20 19:07:38,2010-09-20 19:14:01,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00842,Member,38.9100997,-77.0444
1136,2010-09-20 19:14:22,2010-09-20 19:33:18,31401,14th St & Spring Rd NW,31201,15th & P St NW,W00318,Casual,38.9374997,-77.0328
1545,2010-09-20 19:14:40,2010-09-20 19:40:25,31207,Georgia Ave and Fairmont St NW,31104,Adams Mill & Columbia Rd NW,W00960,Member,38.9248997,-77.0222
1189,2010-09-20 19:17:00,2010-09-20 19:36:50,31100,19th St & Pennsylvania Ave NW,31111,10th & U St NW,W00159,Member,38.9002997,-77.0429
1389,2010-09-20 19:18:09,2010-09-20 19:41:18,31603,1st & M St NE,31107,Lamont & Mt Pleasant NW,W00928,Member,38.9056997,-77.0056
146,2010-09-20 19:18:15,2010-09-20 19:20:41,31104,Adams Mill & Columbia Rd NW,31106,Calvert & Biltmore St NW,W00796,Member,38.9230444,-77.0425553
1733,2010-09-20 19:22:06,2010-09-20 19:50:59,31200,Massachusetts Ave & Dupont Circle NW,31104,Adams Mill & Columbia Rd NW,W00772,Member,38.9100997,-77.0444
304,2010-09-20 19:22:23,2010-09-20 19:27:27,31201,15th & P St NW,31201,15th & P St NW,W00842,Member,38.9098497,-77.034438
2325,2010-09-20 19:23:30,2010-09-20 20:02:16,31106,Calvert & Biltmore St NW,31200,Massachusetts Ave & Dupont Circle NW,W00867,Casual,38.9232108,-77.0476393
2314,2010-09-20 19:23:56,2010-09-20 20:02:30,31106,Calvert & Biltmore St NW,31200,Massachusetts Ave & Dupont Circle NW,W00380,Casual,38.9232108,-77.0476393
961,2010-09-20 19:25:33,2010-09-20 19:41:35,31205,21st & I St NW,31200,Massachusetts Ave & Dupont Circle NW,W01008,Casual,38.9007997,-77.047
668,2010-09-20 19:26:08,2010-09-20 19:37:16,31201,15th & P St NW,31111,10th & U St NW,W00472,Member,38.9098497,-77.034438
2467,2010-09-20 19:26:39,2010-09-20 20:07:47,31000,Eads St & 15th St S,31007,Crystal City Metro / 18th & Bell St,W00819,Casual,38.8589788,-77.0532323
827,2010-09-20 19:27:34,2010-09-20 19:41:22,31205,21st & I St NW,31200,Massachusetts Ave & Dupont Circle NW,W00747,Casual,38.9007997,-77.047
487,2010-09-20 19:28:17,2010-09-20 19:36:25,31208,M St & New Jersey Ave SE,31108,4th & M St SW,W01024,Member,38.8762997,-77.0037
1041,2010-09-20 19:29:09,2010-09-20 19:46:30,31100,19th St & Pennsylvania Ave NW,31107,Lamont & Mt Pleasant NW,W00194,Member,38.9002997,-77.0429
4532,2010-09-20 19:43:26,2010-09-20 20:58:59,31101,14th & V St NW,31203,14th & Rhode Island Ave NW,W00322,Casual,38.9175997,-77.0321
1427,2010-09-20 19:44:28,2010-09-20 20:08:15,31603,1st & M St NE,31603,1st & M St NE,W00873,Member,38.9056997,-77.0056
68,2010-09-20 19:44:34,2010-09-20 19:45:42,31111,10th & U St NW,31111,10th & U St NW,W01050,Member,38.9171997,-77.0259
850,2010-09-20 19:46:03,2010-09-20 20:00:14,31111,10th & U St NW,31110,20th St & Florida Ave NW,W00159,Member,38.9171997,-77.0259
490,2010-09-20 19:47:04,2010-09-20 19:55:15,31110,20th St & Florida Ave NW,31104,Adams Mill & Columbia Rd NW,W00745,Member,38.9153997,-77.0446
1035,2010-09-20 19:51:10,2010-09-20 20:08:25,31603,1st & M St NE,31603,1st & M St NE,W00973,Member,38.9056997,-77.0056
1322,2010-09-20 19:51:15,2010-09-20 20:13:17,31201,15th & P St NW,31401,14th St & Spring Rd NW,W00318,Casual,38.9098497,-77.034438
484,2010-09-20 19:56:10,2010-09-20 20:04:15,31104,Adams Mill & Columbia Rd NW,31101,14th & V St NW,W00772,Member,38.9230444,-77.0425553
296,2010-09-20 19:57:48,2010-09-20 20:02:44,31400,Georgia & New Hampshire Ave NW,31401,14th St & Spring Rd NW,W00860,Casual,38.9360427,-77.024649
961,2010-09-20 19:57:50,2010-09-20 20:13:52,31201,15th & P St NW,31205,21st & I St NW,W00605,Casual,38.9098497,-77.034438
914,2010-09-20 19:58:43,2010-09-20 20:13:58,31201,15th & P St NW,31205,21st & I St NW,W00842,Casual,38.9098497,-77.034438
649,2010-09-20 20:02:22,2010-09-20 20:13:12,31107,Lamont & Mt Pleasant NW,31106,Calvert & Biltmore St NW,W00194,Member,38.9319014,-77.0387453
915,2010-09-20 20:04:29,2010-09-20 20:19:45,31200,Massachusetts Ave & Dupont Circle NW,31101,14th & V St NW,W00867,Casual,38.9100997,-77.0444
347,2010-09-20 20:05:21,2010-09-20 20:11:09,31104,Adams Mill & Columbia Rd NW,31200,Massachusetts Ave & Dupont Circle NW,W00344,Member,38.9230444,-77.0425553
347,2010-09-20 20:05:23,2010-09-20 20:11:11,31104,Adams Mill & Columbia Rd NW,31200,Massachusetts Ave & Dupont Circle NW,W00830,Member,38.9230444,-77.0425553
513,2010-09-20 20:05:52,2010-09-20 20:14:26,31600,5th & K St NW,31203,14th & Rhode Island Ave NW,W00911,Member,38.9025842,-77.0556545
293,2010-09-20 20:06:43,2010-09-20 20:11:37,31202,14th & R St NW,31101,14th & V St NW,W01084,Member,38.9126963,-77.03167
357,2010-09-20 20:07:14,2010-09-20 20:13:11,31111,10th & U St NW,31101,14th & V St NW,W00968,Member,38.9171997,-77.0259
636,2010-09-20 20:10:33,2010-09-20 20:21:10,31110,20th St & Florida Ave NW,31111,10th & U St NW,W00159,Member,38.9153997,-77.0446
1669,2010-09-20 20:10:44,2010-09-20 20:38:34,31600,5th & K St NW,31105,14th & Harvard St NW,W01113,Member,38.9025842,-77.0556545
988,2010-09-20 20:11:11,2010-09-20 20:27:40,31200,Massachusetts Ave & Dupont Circle NW,31200,Massachusetts Ave & Dupont Circle NW,W00380,Member,38.9100997,-77.0444
365,2010-09-20 20:14:41,2010-09-20 20:20:47,31111,10th & U St NW,31203,14th & Rhode Island Ave NW,W01050,Member,38.9171997,-77.0259
2564,2010-09-20 20:15:06,2010-09-20 20:57:51,31111,10th & U St NW,31111,10th & U St NW,W00569,Member,38.9171997,-77.0259
204,2010-09-20 20:19:22,2010-09-20 20:22:47,31106,Calvert & Biltmore St NW,31106,Calvert & Biltmore St NW,W00796,Member,38.9232108,-77.0476393
1186,2010-09-20 20:24:02,2010-09-20 20:43:48,31204,20th & E St NW,31110,20th St & Florida Ave NW,W00428,Member,38.8963209,-77.045018
3841,2010-09-20 20:28:28,2010-09-20 21:32:30,31108,4th & M St SW,31108,4th & M St SW,W01024,Casual,38.8766997,-77.0178
3728,2010-09-20 20:30:14,2010-09-20 21:32:23,31108,4th & M St SW,31108,4th & M St SW,W00959,Casual,38.8766997,-77.0178
278,2010-09-20 20:36:05,2010-09-20 20:40:44,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W00796,Member,38.9232108,-77.0476393
148,2010-09-20 20:49:33,2010-09-20 20:52:02,31602,Park Rd & Holmead Pl NW,31602,Park Rd & Holmead Pl NW,W00775,Member,38.9308232,-77.0315137
